N=8
Nm=4
Nf=4
C=1
G=5
A=2
T=50
init=0.001


individus = 
[
1 1 1 1 2;
1 1 1 2 1;
1 1 2 1 1;
1 1 2 2 1;
1 1 3 1 2;
1 1 3 2 1;
1 1 4 1 2;
1 1 4 2 1;
1 1 5 1 1;
1 1 5 2 2;
2 1 1 1 2;
2 1 1 2 2;
2 1 2 1 2;
2 1 2 2 1;
2 1 3 1 1;
2 1 3 2 2;
2 1 4 1 1;
2 1 4 2 2;
2 1 5 1 1;
2 1 5 2 1;
3 1 1 1 2;
3 1 1 2 2;
3 1 2 1 2;
3 1 2 2 1;
3 1 3 1 2;
3 1 3 2 1;
3 1 4 1 1;
3 1 4 2 2;
3 1 5 1 1;
3 1 5 2 2;
4 1 1 1 2;
4 1 1 2 2;
4 1 2 1 1;
4 1 2 2 1;
4 1 3 1 1;
4 1 3 2 2;
4 1 4 1 2;
4 1 4 2 2;
4 1 5 1 2;
4 1 5 2 2;
5 1 1 1 2;
5 1 1 2 1;
5 1 2 1 1;
5 1 2 2 1;
5 1 3 1 1;
5 1 3 2 1;
5 1 4 1 2;
5 1 4 2 2;
5 1 5 1 1;
5 1 5 2 2;
6 1 1 1 1;
6 1 1 2 2;
6 1 2 1 1;
6 1 2 2 1;
6 1 3 1 2;
6 1 3 2 2;
6 1 4 1 2;
6 1 4 2 1;
6 1 5 1 2;
6 1 5 2 1;
7 1 1 1 1;
7 1 1 2 1;
7 1 2 1 1;
7 1 2 2 1;
7 1 3 1 2;
7 1 3 2 2;
7 1 4 1 1;
7 1 4 2 1;
7 1 5 1 1;
7 1 5 2 1;
8 1 1 1 2;
8 1 1 2 2;
8 1 2 1 1;
8 1 2 2 1;
8 1 3 1 2;
8 1 3 2 2;
8 1 4 1 2;
8 1 4 2 1;
8 1 5 1 2;
8 1 5 2 1;
]
